Feature ID	Taxon	Confidence	domain	phylum	class	order	family	genus	species
bcfe279a1b47e7a4f603da45228641c5	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Ruminiclostridium;s__	0.906145209	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Ruminiclostridium	s__
a9b6029d2a8d4a64157ad5c056335ee9	d__Bacteria;p__Cyanobacteriota;c__Vampirivibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Candidatus_Obscuribacter;s__	0.992378745	d__Bacteria	p__Cyanobacteriota	c__Vampirivibrionia	o__Obscuribacterales	f__Obscuribacteraceae	g__Candidatus_Obscuribacter	s__
e990c276fbc1c79a05390fbf6840daf2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium;s__	0.754292106	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Aquabacterium	s__
be6de5529c80d3b433a48e348e776ffc	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	0.98181233	d__Bacteria	p__Bacillota	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
10afda2baef44de4c584a6641de399b1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	0.941213011	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
aa4eb4f60926379122d0d9845ecaf67a	d__Bacteria;p__Bacillota;c__Clostridia;o__Incertae_Sedis;f__Incertae_Sedis	0.829605242	d__Bacteria	p__Bacillota	c__Clostridia	o__Incertae_Sedis	f__Incertae_Sedis		
0eb8764f6fde39e9afc35a6a32acdfbc	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Incertae_Sedis;s__	0.997056402	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rickettsiales	f__Mitochondria	g__Incertae_Sedis	s__
15ea82f85903ca40a75c9b7dc0e96ac4	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.998619054	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__
fbdf97d125a8c5a609842c235013b1d4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0.99297816	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae		
11cef7b677b670e66d4ad11e86348ebd	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__	0.907573282	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__
c43a02021e53b6361e78169df50311f3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	0.991845531	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__
253fc7c4dc2c5b27818d6e75100bb6e5	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__	0.983317207	d__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	s__
dd273666cbd725e1c0d2db2800ce8912	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Hypnocyclicus;s__	0.999986687	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Hypnocyclicus	s__
8888076fb1e08e48b644b30fd750ce30	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	0.999999412	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__
